antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frankfurter,other vegetables,0.037759807525228894,0.12210118291786407,0.005,0.136,1.116,1.0,0.0005355097006888195,1.0164197369905876,0.1081463334554042,0.03326133909287257,0.016154484602201084,0.08921438985521989
other vegetables,frankfurter,0.12210118291786407,0.037759807525228894,0.005,0.042,1.116,1.0,0.0005355097006888195,1.0045787609436612,0.11853615324991701,0.03326133909287257,0.004557891448312051,0.08921438985521989
sausage,yogurt,0.06034886052262247,0.08587850030074183,0.006,0.095,1.109,1.0,0.0005648408894225838,1.0103448154570749,0.10458748221906108,0.04091341579448145,0.010238895967803696,0.08108208263850286
yogurt,sausage,0.08587850030074183,0.06034886052262247,0.006,0.067,1.109,1.0,0.0005648408894225838,1.007048969331468,0.1075084076619388,0.04091341579448145,0.006999629160186191,0.08108208263850286
sausage,soda,0.06034886052262247,0.09710619528169484,0.006,0.099,1.015,1.0,8.775684425780649e-05,1.0016131519172353,0.015701567919190695,0.03925893250992501,0.0016105538492056613,0.07990646762073961
soda,sausage,0.09710619528169484,0.06034886052262247,0.006,0.061,1.015,1.0,8.775684425780649e-05,1.000962687434479,0.016340787930704752,0.03925893250992501,0.0009617615587116068,0.07990646762073961
